"Date","spy.us"
"08/27/2010","101.63"
"08/26/2010","100.08"
"08/25/2010","100.75"
"08/24/2010","100.37"
"08/23/2010","101.88"
"08/20/2010","102.27"
"08/19/2010","102.60"
"08/18/2010","104.42"
"08/17/2010","104.23"
"08/16/2010","102.96"
"08/13/2010","103.01"
"08/12/2010","103.31"
"08/11/2010","103.95"
"08/10/2010","106.88"
"08/09/2010","107.46"
"08/06/2010","106.89"
"08/05/2010","107.33"
"08/04/2010","107.44"
"08/03/2010","106.73"
"08/02/2010","107.24"
"07/30/2010","104.87"
"07/29/2010","104.89"
"07/28/2010","105.41"
"07/27/2010","106.09"
"07/26/2010","106.10"
"07/23/2010","105.01"
"07/22/2010","104.10"
"07/21/2010","101.83"
"07/20/2010","103.17"
"07/19/2010","102.04"
"07/16/2010","101.44"
"07/15/2010","104.31"
"07/14/2010","104.28"
"07/13/2010","104.29"
"07/12/2010","102.74"
"07/09/2010","102.68"
"07/08/2010","101.92"
"07/07/2010","100.92"
"07/06/2010","97.84"
"07/02/2010","97.20"
"07/01/2010","97.73"
"06/30/2010","98.17"
"06/29/2010","99.11"
"06/28/2010","102.27"
"06/25/2010","102.59"
"06/24/2010","102.16"
"06/23/2010","103.88"
"06/22/2010","104.21"
"06/21/2010","105.96"
"06/18/2010","106.26"
"06/17/2010","106.65"
"06/16/2010","106.48"
"06/15/2010","106.52"
"06/14/2010","104.15"
"06/11/2010","104.31"
"06/10/2010","103.81"
"06/09/2010","100.86"
"06/08/2010","101.40"
"06/07/2010","100.33"
"06/04/2010","101.59"
"06/03/2010","105.29"
"06/02/2010","104.93"
"06/01/2010","102.27"
"05/28/2010","104.02"
"05/27/2010","105.34"
"05/26/2010","101.92"
"05/25/2010","102.54"
"05/24/2010","102.44"
"05/21/2010","103.77"
"05/20/2010","102.28"
"05/19/2010","106.29"
"05/18/2010","106.90"
"05/17/2010","108.37"
"05/14/2010","108.32"
"05/13/2010","110.31"
"05/12/2010","111.70"
"05/11/2010","110.16"
"05/10/2010","110.47"
"05/07/2010","105.81"
"05/06/2010","107.41"
"05/05/2010","111.10"
"05/04/2010","111.77"
"05/03/2010","114.46"
"04/30/2010","112.99"
"04/29/2010","114.94"
"04/28/2010","113.54"
"04/27/2010","112.68"
"04/26/2010","115.41"
"04/23/2010","115.85"
"04/22/2010","115.10"
"04/21/2010","114.75"
"04/20/2010","114.96"
"04/19/2010","113.95"
"04/16/2010","113.52"
"04/15/2010","115.35"
"04/14/2010","115.26"
"04/13/2010","113.97"
"04/12/2010","113.88"
"04/09/2010","113.70"
"04/08/2010","112.96"
"04/07/2010","112.57"
"04/06/2010","113.21"
"04/05/2010","112.95"
"04/01/2010","112.03"
"03/31/2010","111.27"
"03/30/2010","111.65"
"03/29/2010","111.58"
"03/26/2010","110.87"
"03/25/2010","110.94"
"03/24/2010","111.12"
"03/23/2010","111.66"
"03/22/2010","110.88"
"03/19/2010","110.29"
"03/18/2010","111.31"
"03/17/2010","111.37"
"03/16/2010","110.71"
"03/15/2010","109.84"
"03/12/2010","109.81"
"03/11/2010","109.80"
"03/10/2010","109.34"
"03/09/2010","108.86"
"03/08/2010","108.68"
"03/05/2010","108.66"
"03/04/2010","107.13"
"03/03/2010","106.80"
"03/02/2010","106.71"
"03/01/2010","106.41"
"02/26/2010","105.32"
"02/25/2010","105.25"
"02/24/2010","105.40"
"02/23/2010","104.44"
"02/22/2010","105.72"
"02/19/2010","105.70"
"02/18/2010","105.48"
"02/17/2010","104.86"
"02/16/2010","104.37"
"02/12/2010","102.75"
"02/11/2010","102.84"
"02/10/2010","101.77"
"02/09/2010","101.97"
"02/08/2010","100.71"
"02/05/2010","101.44"
"02/04/2010","101.23"
"02/03/2010","104.45"
"02/02/2010","104.98"
"02/01/2010","103.72"
"01/29/2010","102.13"
"01/28/2010","103.26"
"01/27/2010","104.45"
"01/26/2010","103.96"
"01/25/2010","104.40"
"01/22/2010","103.86"
"01/21/2010","106.23"
"01/20/2010","108.32"
